period_numb,period,lbuss_coef,lnsas_coef,se_lbuss,se_lnsas
1,Jan-20,0.276,-0.036,0.175,0.110
2,Feb-20,0.588,0.279,0.199,0.214
3,Mar-20,0.409,0.098,0.150,0.137
4,Apr-20,0.559,0.219,0.221,0.191
5,May-20,0.029,-0.259,0.184,0.151
6,Jun-20,0.139,0.018,0.126,0.162
7,Jul-20,-0.044,-0.182,0.175,0.274
8,Aug-20,0.148,-0.074,0.127,0.140
9,Sep-20,-0.043,-0.119,0.092,0.160
10,Oct-20,0.093,-0.129,0.104,0.142
11,Nov-20,0.025,-0.369,0.148,0.167
12,Dec-20,0.005,-0.191,0.102,0.155
13,Jan-21,0.037,0.127,0.129,0.257
14,Feb-21,0.043,-0.096,0.101,0.170
15,Mar-21,-0.103,-0.179,0.112,0.135
16,Apr-21,-0.066,-0.112,0.136,0.174
17,May-21,-0.015,-0.038,0.119,0.129
18,Jun-21,0.203,-0.057,0.130,0.178
19,Jul-21,0.059,-0.259,0.102,0.128
20,Aug-21,0,0,0,0
21,Sep-21,-0.098,-0.317,0.116,0.155
22,Oct-21,0.1,0.038,0.096,0.176
23,Nov-21,-0.141,-0.367,0.083,0.120
24,Dec-21,-0.272,-0.631,0.132,0.183
