period,group,buss,lbuss,nsas,lnsas
1,Treatment,77,4.356708827,77,4.356708827
2,Treatment,86,4.465908119,86,4.465908119
3,Treatment,44,3.80666249,44,3.80666249
4,Treatment,0,0,0,0
5,Treatment,17,2.890371758,16,2.833213344
6,Treatment,73,4.304065093,67,4.219507705
7,Treatment,99,4.605170186,75,4.33073334
8,Treatment,92,4.532599493,54,4.007333185
9,Treatment,101,4.624972813,67,4.219507705
10,Treatment,97,4.584967479,49,3.912023005
11,Treatment,74,4.317488114,36,3.610917913
12,Treatment,83,4.430816799,51,3.951243719
13,Treatment,85,4.454347296,60,4.110873864
14,Treatment,79,4.382026635,40,3.713572067
15,Treatment,104,4.65396035,43,3.784189634
16,Treatment,84,4.442651256,43,3.784189634
17,Treatment,102,4.634728988,44,3.80666249
18,Treatment,136,4.919980926,48,3.891820298
19,Treatment,113,4.736198448,37,3.63758616
20,Treatment,115,4.753590191,35,3.583518938
21,Treatment,97,4.584967479,35,3.583518938
22,Treatment,111,4.718498871,40,3.713572067
23,Treatment,95,4.564348191,27,3.33220451
24,Treatment,81,4.406719247,20,3.044522438
1,Control,767,6.643789733,767,6.643789733
2,Control,677,6.519147288,675,6.516193076
3,Control,419,6.040254711,418,6.03787092
4,Control,7,2.079441542,7,2.079441542
5,Control,296,5.693732139,274,5.616771098
6,Control,747,6.617402978,560,6.329720906
7,Control,1268,7.145984468,719,6.579251212
8,Control,1087,6.992096427,586,6.37502482
9,Control,1274,7.150701458,618,6.428105273
10,Control,1298,7.169350017,538,6.289715571
11,Control,1165,7.061334367,496,6.208590026
12,Control,1047,6.954638865,444,6.098074282
13,Control,973,6.881411304,358,5.883322388
14,Control,967,6.875232087,350,5.860786223
15,Control,1334,7.196686571,469,6.152732695
16,Control,1062,6.968850378,343,5.840641657
17,Control,1350,7.208600338,416,6.033086222
18,Control,1433,7.268223021,466,6.146329258
19,Control,1375,7.226936018,425,6.054439346
20,Control,1375,7.226936018,392,5.973809612
21,Control,1440,7.273092596,432,6.070737728
22,Control,1381,7.231287004,363,5.897153868
23,Control,1237,7.121252453,390,5.96870756
24,Control,1312,7.180069874,341,5.834810737
